"No","カテゴリ","資質名","超一言","ぱっと見でわかる一言説明"
"1","実行力","達成欲 – Achiever","完了","たくさんやり遂げることで満足する"
"2","実行力","アレンジ – Arranger","組み替え","人・物・予定を最適に組み替える"
"3","実行力","信念 – Belief","自分の価値観","大切な価値観を軸に行動する"
"4","実行力","公平性 – Consistency","公平","誰にでも同じ基準・ルールを適用する"
"5","実行力","慎重さ – Deliberative","リスク察知","リスクを見極めてから慎重に決める"
"6","実行力","規律性 – Discipline","正確性・ルール","計画・手順・型で物事を整える"
"7","実行力","目標志向 – Focus","一つの目標に集中","ゴールに必要なことへ集中する"
"8","実行力","責任感 – Responsibility","約束を果たす","引き受けた約束を必ず果たす"
"9","実行力","回復志向 – Restorative","問題解決","問題を見つけて直すことを好む"
"10","影響力","活発性 – Activator","開始","考え続けるより、まず始める"
"11","影響力","指令性 – Command","主導権","主導権を取り、はっきり方向を示す"
"12","影響力","コミュニケーション – Communication","伝える","言葉で伝え、人を話に引き込む"
"13","影響力","競争性 – Competition","勝負","他人と比べて勝つことに燃える"
"14","影響力","最上志向 – Maximizer","良い点をさらに良く","良いもの・強みをさらに磨き上げる"
"15","影響力","自己確信 – Self-Assurance","自信","自分の判断を信じて決断する"
"16","影響力","自我 – Significance","自分の存在価値","重要な存在・仕事でありたい"
"17","影響力","社交性 – Woo","人脈開拓","初対面の人とすぐ打ち解ける"
"18","人間関係構築力","適応性 – Adaptability","柔軟","今の状況に合わせて柔軟に動く"
"19","人間関係構築力","運命思考 – Connectedness","つながり・意味","物事にはつながりや意味があると感じる"
"20","人間関係構築力","成長促進 – Developer","育てる","人の小さな成長を見つけて伸ばす"
"21","人間関係構築力","共感性 – Empathy","感情察知","相手の感情を自然に感じ取る"
"22","人間関係構築力","調和性 – Harmony","対立緩和","対立を避け、一致点を探す"
"23","人間関係構築力","包含 – Includer","全員含める","誰も仲間外れにせず輪に入れる"
"24","人間関係構築力","個別化 – Individualization","個性最適化","一人ひとりの違いや個性を見抜く"
"25","人間関係構築力","ポジティブ – Positivity","希望","明るさや楽しさを周囲に広げる"
"26","人間関係構築力","親密性 – Relator","深い関係","少数の人と深い信頼関係を築く"
"27","戦略的思考力","分析思考 – Analytical","原因分析","根拠や原因を確かめて判断する"
"28","戦略的思考力","原点思考 – Context","過去","過去を知ることで今を理解する"
"29","戦略的思考力","未来志向 – Futuristic","未来","魅力的な未来を思い描く"
"30","戦略的思考力","着想 – Ideation","アイデア","新しい発想や意外なつながりを生む"
"31","戦略的思考力","収集心 – Input","収集","役立ちそうな情報や物を集める"
"32","戦略的思考力","内省 – Intellection","1人思考","一人で深く考えることを楽しむ"
"33","戦略的思考力","学習欲 – Learner","学び・習得","学んで上達する過程そのものを楽しむ"
"34","戦略的思考力","戦略性 – Strategic","道筋発見","複数の道から最善ルートを見つける"
